Creation Time : 04/07/26 14:32
Time,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,sw_id,pdm_id,iat,fuel_press,lamda,gear,batt_volt,digital,ect,oil_press,fuel_consump,rear_left_speed,ecu_temp,oil_temp,map,tp,rear_right_speed,engine_in,engine_rpm,carter_temp
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
sec,g,g,g,dps,dps,dps,,,C,kPa,,,V,,C,kPa,ccmin^-1,kph,C,C,kPa,%,kph,C,rpm,C
04/07/2026 14:32:13.013, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.050, 0.146888002753258,-0.0375759974122047,0.976975977420807,-0.0175000000745058,-0.0700000002980232,0.21000000834465,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.063, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.113, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
04/07/2026 14:32:13.113, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.150, 0.147863999009132,-0.0409919992089272,0.976975977420807,-0.105000004172325,-0.0350000001490116,0.245000004768372,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.163, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.213, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.250, 0.147376000881195,-0.0375759974122047,0.977463960647583,-0.105000004172325,-0.157499998807907,0.192499995231628,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.262, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.313, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.350, 0.147863999009132,-0.0400159992277622,0.979903995990753,,,,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.350, ,,,-0.122500002384186,-0.0700000002980232,0.245000004768372,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.362, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.397, ,,,,,,,0,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.398, ,,,,,,119,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.412, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.450, 0.150792002677917,-0.0414799973368645,0.979415953159332,-0.0700000002980232,-0.122500002384186,0.174999997019768,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.462, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.512, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.550, 0.149327993392944,-0.0419679991900921,0.979903995990753,-0.0525000020861626,-0.0874999985098839,0.157499998807907,,,,,,,,,,,,,,,,,,,,
04/07/2026 14:32:13.562, ,,,,,,,,,,,0,,,,,,0,,,,,0,,0,
04/07/2026 14:32:13.612, ,,,,,,,,52,,,,,,72,,,,,65,,,,,,
